job_title,company,location,info,posted,datetime,job_link,comp_link
Data Analyst,Unified Fire Authority,"Salt Lake City, UT",0,1 week ago,2023-08-25,https://www.linkedin.com/jobs/view/data-analyst-at-unified-fire-authority-3696899091?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=1fIqjTAzCkIVLeYcHiBKeA%3D%3D&position=8&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/unified-fire-authority?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst II,Ampcus Inc,"New York, NY",Actively Hiring,1 week ago,2023-08-30,https://www.linkedin.com/jobs/view/data-analyst-ii-at-ampcus-inc-3708098683?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=c67YPC%2FXURhvLS09Xsih1Q%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/ampcus-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst (Business Analyst) - Remote in Idaho,Magellan Health,"Boise, ID",0,1 week ago,2023-08-31,https://www.linkedin.com/jobs/view/data-analyst-business-analyst-remote-in-idaho-at-magellan-health-3706753522?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=nZNa2GM86V0gTf6Wq%2F39Hg%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/magellan-health?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,"ALTA IT Services, LLC","Herndon, VA",0,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/data-analyst-at-alta-it-services-llc-3693061553?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=8S19Fb4ZbN8cQY7ZpvmG0g%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/altaitservices?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,CACI International Inc,"Washington, DC",Actively Hiring,1 week ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-at-caci-international-inc-3699625063?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=%2FLfCaAh8Stp3ruqO%2BI6uBA%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/caci-international-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
Jr. Business Intelligence Analyst (Part-Time),MedCost,United States,0,2 days ago,2023-09-06,https://www.linkedin.com/jobs/view/jr-business-intelligence-analyst-part-time-at-medcost-3711776922?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=h%2FV7Xc%2FONeogs7DUgmDKPw%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/medcost?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst II,ALTEN,"Texas, United States",Actively Hiring,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/data-analyst-ii-at-alten-3693565779?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=K0QU02WtbYuVghlWwcWsiA%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/company/alten?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst 1,GovCIO,"Washington, DC",0,6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-1-at-govcio-3710121610?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=rxrVvSpyPi%2FDxo2tAevTxA%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/govcio?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Data Analyst,Revenue.io,"Los Angeles, CA",0,1 week ago,2023-08-29,https://www.linkedin.com/jobs/view/senior-data-analyst-at-revenue-io-3704074794?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=v9km87HviQGuJzwq9dK3aA%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/revenueio?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst 3,Hyland,"Westlake, OH",Actively Hiring,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/data-analyst-3-at-hyland-3703403207?refId=b7rZpm%2BwXDP60fbD7nZPww%3D%3D&trackingId=X%2FahWAU68akyM%2B%2BPLquYuQ%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/hyland-software?trk=public_jobs_jserp-result_job-search-card-subtitle
